dates,RPI,UNRATE,PAYEMS,WPSFD49207,PCEPI,GS5,GS10,BAAFFM
725404,5.82178955845265,7.2,1.39690974834181,-16.0307727542374,0,8.34,8.7,3.25
725432,11.2834388104751,7.2,1.05571320535063,-15.0799471198301,-2.64011865001219,7.46,7.78,3.02
725463,4.060768636662,7.1,2.26603788525992,-5.85081607618072,-2.46787862464029,7.05,7.3,3.2
725493,1.44752520629794,7.2,1.53653061539103,5.85081607618072,2.20132548876837,7.52,7.71,3.44
725524,0.564435874984071,7.2,-1.12498307156272,3.49684560221917,4.45697375667518,7.64,7.8,3.42
725554,5.97329295094013,7,3.84236186270499,-9.34766167839989,0.287692833953557,7.06,7.3,3.6
725585,2.8399646340759,6.9,1.38650981711521,4.68293277231808,1.52583153487509,6.8,7.17,4.01
725616,1.52186091477091,7,4.1619512254826,2.33463108658896,3.9052407670555,6.92,7.45,4.31
725646,0.763150889613939,7,2.24338372303592,6.97676383850379,2.15676982828619,6.83,7.43,4.39
725677,2.45417111130095,6.9,2.23919757233304,-1.15998075731376,2.15290040172142,6.76,7.25,4.03
725707,4.91364302198107,6.6,2.40218786802515,2.31884130126438,1.6011846753667,6.67,7.11,3.06
725738,-1.20817937414586,6.6,2.01603530745231,5.77757495464937,5.59828984893436,6.64,7.08,3.29
725769,4.11662500757615,6.6,2.86909168059353,3.45323979313825,4.2033855151459,6.79,7.25,3.55
725797,3.14543568398804,6.6,2.90969694675312,1.14887514759232,3.17000980468478,6.79,7.25,3.48
725828,-0.551132631755991,6.3,3.96718065102348,6.87024777364798,4.45855790304286,7.57,8.02,3.67
725858,7.36879340559327,6.3,2.70436621419989,1.14122690484493,3.0422095675334,8.26,8.61,3.66
725889,-1.04054620572214,6.2,2.02722660034311,3.41718313501396,4.53816845642336,8.02,8.4,3.79
725919,4.06694675557873,6.1,4.07941729261054,2.27272795208471,2.76608983609776,8.01,8.45,4.03
725950,6.18679874781591,6,2.02866167426095,2.26843167740256,4.74537036927529,8.32,8.76,4.07
725981,0.87891490707932,5.9,2.65669377580835,3.39462744057322,4.02524137508884,8.94,9.42,4.09
726011,7.59774269985982,6,5.72637576202837,-2.26201763492568,3.79985634650808,9.08,9.52,4.33
726042,5.38205354352144,5.8,2.71948206070505,0,2.28684428328734,8.35,8.86,4.54
726072,12.8959237893838,5.7,3.35019272536456,-2.26628962544169,2.21915048669352,8.45,8.99,4.52
726103,-1.69942448103839,5.7,1.06453766129846,6.78606898001419,4.63638377288547,8.18,8.67,4.24
726134,4.80434938227461,5.7,5.32008353342519,-1.12834987157058,1.76554075251367,7.71,8.21,4.04
726163,2.67044192151502,5.7,3.16239048778257,3.38187166061026,4.13045215475059,7.83,8.37,3.99
726194,2.72111548642826,5.4,2.78748434545335,4.49438727619444,5.82550755627054,8.19,8.72,4.03
726224,0.888236686082422,5.6,2.63240827759006,2.24089700975476,3.4734704334106,8.58,9.09,3.95
726255,4.02522263068334,5.4,4.15430681970008,3.35351871721983,5.09836521048967,8.49,8.92,3.49
726285,5.20533144355539,5.4,2.54936646275326,10.0046897253936,5.81794314218982,8.66,9.06,3.36
726316,3.03544696653901,5.6,1.40893096517232,4.41989449955607,3.55525370301777,8.94,9.26,3.2
726347,2.24734255736081,5.4,3.84341360360736,2.20385736876096,5.83404849127618,8.69,8.98,2.71
726377,6.59189044812365,5.4,2.97330677955898,2.19981729799343,3.91437655959663,8.51,8.8,2.11
726408,0.400547837839582,5.3,3.84418792488219,4.38757344373286,2.7649781818198,8.79,8.96,2.13
726438,6.19233648576198,5.3,3.15856211208185,4.37158953420145,3.75098515251402,9.09,9.11,1.89
726469,11.0213594421793,5.4,2.94872122922953,11.9403970238015,6.138430656301,9.15,9.09,1.53
726500,3.72499204044061,5.2,2.97500478583217,8.60990240675363,3.98123689579215,9.27,9.17,1.25
726528,6.39231420214941,5,2.16509861196599,4.28189571182145,4.46815954402808,9.51,9.36,0.82
726559,-4.64293291789417,5.2,1.89404529321919,8.51822565321356,7.97318637054047,9.3,9.18,0.77
726589,-5.10425733118822,5.2,1.35741586257794,9.51127832690482,4.36277582618843,8.91,8.86,0.65
726620,3.39285408560954,5.3,1.26701873399,0,2.62982383609192,8.29,8.28,0.5
726650,3.98102010056505,5.2,0.466459357273408,-2.10711204271838,2.86054962633173,7.83,8.02,0.63
726681,2.62482068471286,5.2,0.566171277310445,-4.22535647829392,0.137923108019322,8.09,8.11,0.89
