dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PCEPI,HOUST,SP500,EXUSUKx,GS5,GS10,BAAFFM
716485,8.85411719932279,8.04249825693989,8.10777859048346,78.1562,6.7,3.57495071398989,39.2,8.54452059568848,0.602411460338033,3.73669846893557,-14.8033839496695,19.0022857506305,0.202893977446138,3.9,3.98,3.24
716515,9.83433677366952,8.66982620473942,10.0084300440342,79.5528,6.5,3.82102557877261,40,9.40289496482762,0.602411460338033,3.73070524128104,-15.7879207349224,20.0964856370288,0.316619201161089,3.8,3.92,2.87
716546,10.7251684695885,9.62974918751155,11.5469249806114,80.7658,6.1,4.22372051452271,40.2,9.82933484347339,0.902261759963665,3.73669846893557,-17.9308598805123,24.5263154480632,0.298858158185979,3.82,3.94,2.5
716576,11.3254493195574,10.3202368396018,12.4153859017651,81.6041,6,4.46091660434786,39.7,9.82933484347339,0.902261759963665,3.76066778832171,-19.3854309807502,25.4505623298318,0.110396905854358,3.91,4.06,2.77
716607,11.2302608037526,10.3515096429422,11.5469249806114,80.2408,5.8,4.49553664969994,39.3,10.2539639316185,1.2012156448003,3.9462354690005,-19.6789014775097,21.6577634295062,0.160213652427785,3.94,4.08,2.93
716638,11.6444044713757,10.3045967697109,13.1694900675197,81.4267,5.5,5.03515041922469,39.9,10.2539639316185,1.49927845861413,4.2209609165144,-25.9712382489083,23.3090321934467,0.288200018021328,3.89,4.04,2.7
716666,12.3314837905154,11.1301680621979,13.7046753458253,81.8912,5.6,5.19266925899706,40.1,10.6767975425706,1.2012156448003,4.3520850263734,-13.8284458652691,23.4086692381995,0.313067244920816,3.68,3.93,2.19
716697,12.8426935263936,11.4760194844925,13.9175654760269,81.7429,5.6,5.78251376790672,40.1,11.097850796205,1.2012156448003,4.46519037521728,-8.36702811799717,20.1699880291656,0.266880329208036,3.6,3.84,2.24
716727,12.988259286998,12.2408906449295,13.810984577007,81.3349,5.5,5.82926374628232,40.2,11.097850796205,0.902261759963665,4.52466816201797,-11.0941675288631,12.4433134828018,0.199337979366007,3.66,3.87,2.64
716758,13.1238625857326,11.7384800731057,13.5978671835488,80.9291,5.5,5.85802210437851,40,11.097850796205,0.902261759963665,4.59005289404092,-16.5683432840807,0.0179775281383172,0.0641162663554553,3.64,3.91,2.34
716788,13.6097798828862,12.0668707422774,14.5546763382524,81.476,5.4,6.04116247336901,40,11.5171386222086,0.902261759963665,4.53061399547687,-13.3445182011943,2.39819646864851,0.00356309347813522,3.8,4.01,2.34
716819,13.766962690406,12.3380053245445,14.6604679615558,81.4168,5.7,6.20606070402346,40.1,11.9346757632566,1.2012156448003,4.67914505091545,-8.82740380780308,5.08257273461049,-0.0962515447818504,3.71,3.98,2.13
716850,13.8120360336469,13.4556759716317,15.2924988168988,81.7875,5.6,6.4564722250168,40.1,11.9346757632566,2.09275201059552,5.17069204164329,-22.4351280929609,4.19001617406002,-0.199736129462636,3.7,3.98,2.13
716880,14.3452236949922,12.9593467683915,15.3975131665043,81.3851,5.4,6.56895315529141,39.9,11.9346757632566,1.49927845861413,5.06429647657654,-7.77821385547486,0.983995773852257,-0.185456025193616,3.64,3.93,2.09
716911,14.7051187655582,14.2757857227666,15.8164712256454,81.8392,5.7,6.5957156914692,40.1,12.350476778123,1.49927845861413,5.14114907117823,-2.1348782751204,7.64681579594429,-0.164039691588059,3.6,3.92,2.02
716941,15.1828318566961,14.8354234198363,15.8164712256454,81.6791,5.5,6.54575316232604,39.6,12.350476778123,1.2012156448003,5.09386215695037,-5.77620963213064,11.886120287673,-0.114086076048451,3.56,3.86,1.99
716972,15.7931094783169,14.8055220939881,16.5450760075954,81.9446,5.7,6.70091223146778,40,12.7645560447261,0.902261759963665,5.3418693699864,-28.6676744127438,15.6767072239387,-0.060592021528393,3.58,3.83,1.99
717003,15.2645773818051,14.4309991723776,17.6799894765392,82.3778,5.9,6.90563881505705,39.9,13.1769277631123,0.902261759963665,5.44797017569584,-12.9315788669932,16.9899036795398,-0.110518915329664,3.66,3.92,1.89
717031,15.7111288297796,14.935029982183,18.2932788001976,82.6243,5.7,7.06556776962475,40,13.5876059583777,0.602411460338033,5.37135310991749,-7.71300354993616,16.6099351397062,-0.210447546057722,3.68,3.93,1.9
717062,15.9847777787285,15.2977542873567,19.2067647474559,83.4581,5.7,7.52615317198797,40.2,13.5876059583777,0.602411460338033,5.36545705732306,1.91278993812364,21.207933170883,-0.206876946375132,3.74,3.97,1.97
717092,16.4150759662559,15.362211239783,20.4115483637772,83.9513,5.9,7.58975966199432,40.2,13.9966044835302,0.902261759963665,5.52452858466472,-0.970292633647205,23.1950395906214,-0.246160556686959,3.72,3.93,1.85
717123,16.8858870539802,16.3241128480532,20.7105797041929,83.9398,5.6,7.66568109578907,40.3,14.4039370222938,1.2012156448003,5.74210533687068,-4.25333756194823,23.1522588413058,-0.224731219842923,3.81,3.99,1.85
717153,16.941699568345,16.838252798095,20.3116722091075,83.3448,5.6,7.90366521911051,40.2,14.8096170918552,0.902261759963665,5.94162421063913,-2.6293168596668,21.6577634295062,-0.203306474179811,3.89,4.02,1.82
717184,17.2928696681294,17.1892843125696,20.5113248655054,83.5014,5.4,8.10770384614921,40.2,14.8096170918552,0.902261759963665,6.07636748653971,-1.09224386827327,24.3855298412532,-0.246160556686959,3.89,4,1.34
717215,17.9667834076722,17.0041712433413,21.5032959147737,83.8227,5.5,8.4024719298834,40.2,15.2136580455557,0.902261759963665,6.05880256948876,6.20081649713075,26.9859683835394,-0.314050434770195,3.96,4.08,1.36
717245,18.5193157654575,16.9456432213809,22.1917606781037,84.3071,5.5,8.7609861429039,40.3,15.2136580455557,1.2012156448003,6.25184717593066,7.10426702392726,27.23274668262,-0.310476133992395,3.97,4.11,1.33
717276,18.7280188379112,17.6893217648859,22.6808870017987,84.2946,5.7,8.71209407117612,40.2,15.6160730755283,1.2012156448003,6.39200955360451,-2.1348782751204,26.6697517180371,-0.310476133992395,4.01,4.12,1.36
