dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PCEPI,HOUST,SP500,EXUSUKx,GS5,GS10,BAAFFM
734320,3.53549937309765,2.89083520096547,5.24773768060101,71.4307,9.4,-0.7725973486572,40.3,2.96223305199419,1.34529162071892,1.03020474316757,6.30261897574491,-3.94978074377832,42.7818652529466,1.76,3.01,5.83
734351,4.39490819136239,3.51420160821796,3.67834964517399,71.6173,9.5,-0.0460036266254349,40.6,2.36453278475821,6.70392805036677,1.60635874228028,6.39526159811545,8.28399103548598,27.6711760156141,1.47,2.7,5.47
734382,-0.166884164109149,1.3213480318548,2.7576734434728,71.7361,9.5,-0.598207690154595,40.7,1.77034701398782,4.00445310429234,1.11565529275843,6.38687931936265,37.8059293698104,-5.37566494785882,1.41,2.65,5.47
734412,2.28943241237758,2.95849020388594,-3.18530846760687,71.9133,9.4,2.46453865050569,40.6,4.12068101749874,9.95305678233969,3.55314861064855,6.29710931993394,51.8029912160262,21.0571872690457,1.18,2.54,5.53
734443,2.86851616056083,3.54058713377761,0.345651915775491,72.0436,9.8,1.14777627114862,40.6,2.93470432401381,5.27473376764576,2.25902976306749,6.30078579466324,27.6514362771625,7.08811913816261,1.35,2.76,5.73
734473,8.51591476985689,1.61928444849018,11.5683993360811,72.4727,9.3,0.660621184086096,40.7,0.586080597730998,10.4804159625054,2.71518689328758,6.289715570909,41.9380335288437,-27.8374759687857,1.93,3.29,5.92
734504,14.8962170371313,1.05381401646341,-1.54377996283976,72.6665,9.1,0.174269958229445,40.2,4.09456892512399,9.09587462732233,3.94970081770829,6.44571981938558,39.072445134741,14.303640046892,1.99,3.39,5.92
734535,3.08173102297289,0.502074124485574,-5.27757706438834,72.8246,9,1.94277116365527,40.9,1.75054735639169,12.8756600070805,3.46699376481396,6.24804287450843,35.4900008998481,25.7265541872913,2.26,3.58,5.99
734563,-3.18657113024372,4.3384657941008,11.8626008159417,73.2959,9,2.14987421278252,40.7,-1.16674778272685,8.93146068849511,4.83702454409141,6.39692965521615,-15.2012422728525,2.60198968222962,2.11,3.41,5.89
734594,-2.09544304699776,-0.805401917639514,-4.30692683352909,72.9171,9.1,2.86659956015498,40.9,2.33236225028506,10.756729026426,5.01383217877702,6.31716468674728,24.6017721328908,16.227427812158,2.17,3.46,5.92
734624,-1.01270820617927,-0.903669674114482,2.73100934476567,73.0212,9,0.920605426745169,41,1.16448335193411,6.28273686473442,3.66109657625913,6.3297209055227,6.11278486573141,-3.44838365149578,1.84,3.17,5.69
734655,6.02173969052231,3.01365146572898,3.45410599864024,73.0954,9.1,2.14836843630835,40.9,0.581818193215788,-4.39445952781767,-0.207856783120874,6.41017488196617,-46.6420686026137,-8.33157474213224,1.58,3,5.66
734685,4.18964513028399,2.37386393209569,6.36468263259538,73.5438,9,0.545582684116397,40.9,2.32445593261996,5.02092782708807,2.19901106067333,6.43454651878745,34.8199343136802,-4.52173373764275,1.54,3,5.69
734716,-1.3093086119575,-0.304079224400766,6.70096498881385,73.7625,9,1.14491686836473,40.8,2.31996205657907,-3.13561714863901,2.91358443745793,6.37161184723186,-133.861801960703,14.6154233338549,1.02,2.3,5.26
734747,-2.01050894330308,2.4304790274531,-0.291210691441535,73.9607,9,2.1143141323428,40.9,1.15830124823475,10.6278371162613,1.75205603634865,6.47697236288968,-11.6278106634727,-43.7063903963703,0.9,1.98,5.19
734777,1.47016702566347,1.60142372521435,8.23959361470088,74.2953,8.8,1.84810545361742,41,1.73535821999931,-2.49221273380691,0.0729468501369013,6.41345895716736,33.6068328797879,-0.228288786001873,1.06,2.15,5.3
734808,-0.716537709064369,-1.75925536157955,-0.963343059537891,74.0205,8.6,1.1943180404991,41,-0.578173945176452,3.11445801609267,2.46542571275654,6.56667242980324,18.9349928857929,2.88845391883739,0.91,2.01,5.06
734838,10.8144405352704,0.728280572204909,6.63004291743547,74.4631,8.5,1.82537028306911,41.1,2.31102623185677,-1.24481338963527,0.691352553324265,6.5424719605068,16.4230376808092,-16.7428575310435,0.89,1.98,5.18
734869,5.39305993920323,5.6896240878455,7.32548075415558,74.9897,8.3,3.19223471713386,41.2,-0.577339438608071,4.35120911864786,4.29685004072091,6.58340922215876,54.0301172965041,-4.86002400030487,0.84,1.97,5.15
734900,7.38508491309631,7.18835400080913,2.74716118146792,75.1365,8.3,2.35715807417733,41.2,2.88392352215912,3.09837507529487,2.84800712939308,6.55677835615804,46.9644230150568,21.4510308509813,0.83,1.97,5.04
734929,4.34974655748022,-2.36727944869557,-5.61680186975089,74.6844,8.2,2.15517299309198,41.1,2.87700928986894,1.23711351162967,2.17970585739522,6.54391184556479,32.1713964332112,1.51764279745434,1.02,2.17,5.1
734960,4.47850735898072,1.44255349309574,8.9884809398189,74.997,8.2,0.735464509206452,41.2,2.8701281321645,-0.618397333963117,1.63518887082716,6.62406522779989,-2.4296844740018,13.27313683131,0.89,2.05,5.05
